#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP2230
#Serial Number: SN:210417BAF5F6
#Date Time: 2026-06-07 01:40:50.901
#Start: 100 Hz
#Stop: 1e+07 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.52281 V
#Offset: -0.00023026 V
#Relative: no
#Channel: Channel 2
#Range: 5.52571 V
#Offset: -1.72521e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-76.01839992710475,7.815684721707232,5.28687015266768
102.3292992280754,-74.28797338445861,7.553616705025278,-3.977493458146207
104.7128548050898,-72.84889341737757,5.99247875445637,-1.873749993535235
107.1519305237607,-73.55674374008385,6.104970775071635,-4.135237900412415
109.6478196143185,-72.39533747155674,5.456471135924992,0.1821616212917867
112.2018454301963,-71.30901388357471,5.59026361272304,0.8021151160288909
114.8153621496884,-74.44775044073124,7.924885891651918,8.110154648241849
117.489755493953,-71.45986355471797,6.077633925398649,5.236022912437048
120.2264434617413,-72.36393114820702,6.600829770883104,-0.1503008653669255
123.0268770812381,-72.37197045880082,7.215182677962,-0.3570494876646123
125.8925411794166,-72.27239093004161,7.539075933493247,1.998290286639282
128.8249551693135,-72.45539578356905,6.324969846440904,2.140817209422424
131.8256738556407,-71.15906478248925,6.571684223678645,1.201338585004828
134.8962882591653,-72.16103308838834,5.913749232926168,-6.402794454316489
138.0384264602887,-71.63051907397154,6.886432595197803,-1.858552546578456
141.2537544622755,-71.37857480328843,6.495594730096061,-0.9082254992210863
144.5439770745928,-71.14280700649884,6.780290640880253,-3.89958367848223
147.9108388168207,-72.05367131650208,7.183259778755967,-3.270176239264801
151.3561248436207,-70.69975339153967,6.720449290196666,3.557237572162224
154.8816618912483,-71.96682810160831,7.170464073547755,0.5006449924495889
158.4893192461114,-69.7637663796004,6.40613247837811,-0.39330418288367
162.181009735893,-69.84503230715623,6.245581886015408,-3.533094671352359
165.9586907437563,-68.55003256453465,5.971899773413644,-0.8001074760980197
169.8243652461746,-68.89630888546552,6.646221507849019,0.8653406857490282
173.7800828749376,-68.38508736150504,6.129331387275059,0.6229388990555762
177.8279410038923,-69.23511908613703,5.867255114546884,-0.5619464043496279
181.9700858609983,-70.04737628094634,6.876334679759766,2.101240653479845
186.2087136662869,-68.08447559456793,6.231502720120744,1.689598229206593
190.5460717963248,-67.5300800206403,6.046090015204669,-0.6222853895016257
194.9844599758046,-68.22132208158338,6.633148344875636,4.645427133129478
199.5262314968883,-68.35637811729794,5.964742816032499,-4.62231179036715
204.1737944669532,-67.58040040048459,6.892218370454294,-3.112792613987714
208.9296130854041,-66.57792167329406,5.996351066250087,0.228820117612511
213.7962089502232,-67.44266623498258,6.139802997974019,-0.1391520543353693
218.7761623949552,-66.35458931053647,5.93003252564564,0.7419309115823793
223.8721138568342,-65.86363322492049,5.971596803089346,2.983534606209764
229.086765276777,-67.03218075419102,6.589458172326995,-1.399820061702064
234.4228815319923,-67.11277263886215,6.650321960844333,-0.8838219525102744
239.883291901949,-66.38028616740939,6.494782991429846,0.1790802974111196
245.4708915685029,-67.12826756954475,6.756465559324707,-1.060428667153359
251.1886431509577,-65.49902570463826,6.230739503201111,1.686434587701015
257.0395782768865,-65.79255746511851,6.702254684841888,-0.2336683287875843
263.0267991895382,-64.61326999699074,6.340384337418124,-0.6161591031186961
269.1534803926914,-64.99885588732198,6.687787275312479,0.7676879058266024
275.4228703338163,-65.23834392371373,6.470031626719244,-2.535471121289501
281.8382931264455,-65.42974021755056,6.074541197432861,-1.001754543071144
288.4031503126606,-64.7771640353476,6.581859473587417,-1.667132684015803
295.1209226666384,-63.84233437624008,6.380106475742002,-0.6561273110946964
301.9951720402013,-63.8079169583697,6.663811936501986,-1.508824159111183
309.0295432513592,-63.82121680468,6.085113591684733,-0.2953298754259998
