Frequency (Hz),"Trace 1: Gain: Real ","Trace 1: Gain: Imaginary ",Trace 1: Gain: Magnitude (dB),"Trace 2: Gain: Real ","Trace 2: Gain: Imaginary ",Trace 2: Gain: Phase (°)
10,2.5292221351677546,-0.13450526355616255,8.072004704992073,2.5292221351677546,-0.13450526355616255,-3.0441498035944385
10.351422,2.5279772233360456,-0.1387040501838343,8.068517728718305,2.5279772233360456,-0.1387040501838343,-3.1405331219071573
10.715193,2.52678168429733,-0.14470314257222258,8.065574207960692,2.52678168429733,-0.14470314257222258,-3.2776213375602374
11.091748,2.525123168271298,-0.14943456277939737,8.060834483321726,2.525123168271298,-0.14943456277939737,-3.3867637294769692
11.481536,2.524185983422241,-0.15407173396560817,8.058577286153369,2.524185983422241,-0.15407173396560817,-3.492896975119076
11.885022,2.522610645982914,-0.15880057241334475,8.054180755776496,2.522610645982914,-0.15880057241334475,-3.6020669319103913
12.302688,2.5214059070689725,-0.16432027878916408,8.05126136395314,2.5214059070689725,-0.16432027878916408,-3.728698958029299
12.735031,2.520376977031362,-0.17034700278444342,8.049104014795859,2.520376977031362,-0.17034700278444342,-3.866621191761996
13.182567,2.5188500391133166,-0.17563445823691057,8.045110472698099,2.5188500391133166,-0.17563445823691057,-3.9886660589467198
13.645831,2.5170075030502512,-0.1819933898609184,8.040336318832775,2.5170075030502512,-0.1819933898609184,-4.135600733662384
14.125375,2.515304279121644,-0.18816934702315136,8.036048134581925,2.515304279121644,-0.18816934702315136,-4.278315046482031
14.621772,2.513520183092333,-0.1945612135267886,8.031591377333932,2.513520183092333,-0.1945612135267886,-4.426203557508064
15.135612,2.5117566841246246,-0.20090515827992136,8.027247890278842,2.5117566841246246,-0.20090515827992136,-4.573119417211265
15.667511,2.5095598785562134,-0.20780269280290709,8.021627353328487,2.5095598785562134,-0.20780269280290709,-4.733545836991077
16.218101,2.5081717449970813,-0.21477553051568588,8.01887410017149,2.5081717449970813,-0.21477553051568588,-4.894316203759397
16.78804,2.506108679704746,-0.22275294513900415,8.014174033918733,2.506108679704746,-0.22275294513900415,-5.079329517818309
17.378008,2.5043865483656784,-0.2304822085024579,8.01065613093992,2.5043865483656784,-0.2304822085024579,-5.258199112777029
17.988709,2.5021160320814975,-0.2375518262402745,8.005119430801237,2.5021160320814975,-0.2375518262402745,-5.423426589992517
18.620871,2.500015416738342,-0.24529679631755774,8.000464004747402,2.500015416738342,-0.24529679631755774,-5.603816775721519
19.275249,2.4975429906515347,-0.2535769520633978,7.994799329085399,2.4975429906515347,-0.2535769520633978,-5.797406588763112
19.952623,2.49520674857863,-0.26267910000346634,7.98999668791251,2.49520674857863,-0.26267910000346634,-6.009590940045341
20.653802,2.4925329503643265,-0.2716832319210162,7.984111503991825,2.4925329503643265,-0.2716832319210162,-6.220616602354324
21.379621,2.490511453963617,-0.28130662855378075,7.980827723896773,2.490511453963617,-0.28130662855378075,-6.444322638799749
22.130947,2.48753430071751,-0.29017831133547034,7.974081511812798,2.48753430071751,-0.29017831133547034,-6.653651893743118
22.908677,2.4846118967967965,-0.3000642116108547,7.968056276880912,2.4846118967967965,-0.3000642116108547,-6.886207113385356
23.713737,2.4810524702321533,-0.30998206667944533,7.959988408532989,2.4810524702321533,-0.30998206667944533,-7.12161716420891
24.547089,2.477969323713002,-0.3205760485418224,7.954003590059151,2.477969323713002,-0.3205760485418224,-7.371439137780728
25.409727,2.474114703476286,-0.3315877063952906,7.945712707681637,2.474114703476286,-0.3315877063952906,-7.633451693023823
26.30268,2.471478750133182,-0.34275515193476164,7.941873736321883,2.471478750133182,-0.34275515193476164,-7.895658766159736
27.227013,2.4673308846023128,-0.354152529212077,7.933115386226595,2.4673308846023128,-0.354152529212077,-8.168255673956361
28.183829,2.4624623119330793,-0.36517483371643406,7.921866328671555,2.4624623119330793,-0.36517483371643406,-8.435292864611384
29.17427,2.4584910371587765,-0.3771087717795943,7.914372393824044,2.4584910371587765,-0.3771087717795943,-8.720648051952514
30.199517,2.4539014978738694,-0.3901771578835119,7.905575351001437,2.4539014978738694,-0.3901771578835119,-9.034557908432362
31.260794,2.448374477561403,-0.40264874117627947,7.893454237716143,2.448374477561403,-0.40264874117627947,-9.339013836121948
32.359366,2.44411490682975,-0.4158770037341236,7.886385805012872,2.44411490682975,-0.4158770037341236,-9.656645321224055
33.496544,2.43764890641943,-0.42932472788151427,7.872090290452612,2.43764890641943,-0.42932472788151427,-9.988634909138504
34.673685,2.4327722748407914,-0.44340381283254454,7.8639560077013115,2.4327722748407914,-0.44340381283254454,-10.32950241026571
35.892193,2.4267379654128693,-0.45731024414265875,7.852009380839425,2.4267379654128693,-0.45731024414265875,-10.672034221426452
37.153523,2.4202637259173145,-0.47282054548070734,7.839918414581925,2.4202637259173145,-0.47282054548070734,-11.054028928917703
38.459178,2.414132977887322,-0.4881040300726247,7.829227083086451,2.414132977887322,-0.4881040300726247,-11.430316199612216
39.810717,2.406301098255749,-0.5028241720787978,7.812610115236545,2.406301098255749,-0.5028241720787978,-11.80277613803168
41.209752,2.3990303752865785,-0.5191558204754085,7.7994764497394495,2.3990303752865785,-0.5191558204754085,-12.210656932359095
42.657952,2.391077664460448,-0.5350327219804248,7.784054127884113,2.391077664460448,-0.5350327219804248,-12.612860518068986
44.157045,2.3815911770605083,-0.5515911480303687,7.764272545556032,2.3815911770605083,-0.5515911480303687,-13.040135488178063
45.708819,2.3728023517958756,-0.5694254497696472,7.74840656754311,2.3728023517958756,-0.5694254497696472,-13.494657564724802
47.315126,2.3634774129117617,-0.587486190971579,7.731400429521802,2.3634774129117617,-0.587486190971579,-13.959026792324522
48.977882,2.353296024812371,-0.6039186492010562,7.710521763861937,2.353296024812371,-0.6039186492010562,-14.393031533296904
50.699071,2.342900725508122,-0.6226936800181153,7.691506086722449,2.342900725508122,-0.6226936800181153,-14.883920694457244
52.480746,2.3310379635308167,-0.6412240763345984,7.6677755361555056,2.3310379635308167,-0.6412240763345984,-15.380561760524225
54.325033,2.3190793130931358,-0.6602044715405274,7.644749381447271,2.3190793130931358,-0.6602044715405274,-15.890798269831361
56.234133,2.3066131271483337,-0.678729861264912,7.620133621863373,2.3066131271483337,-0.678729861264912,-16.396724154672437
58.210322,2.292480426112255,-0.699338937257896,7.592553677046792,2.292480426112255,-0.699338937257896,-16.964733439918835
60.255959,2.278521872455766,-0.7180064641778988,7.564227271798037,2.278521872455766,-0.7180064641778988,-17.490651122504808
62.373484,2.263594467273083,-0.7384327086458763,7.535173948433947,2.263594467273083,-0.7384327086458763,-18.067428681127698
64.565423,2.24752195270456,-0.7603515711746167,7.504690087792762,2.24752195270456,-0.7603515711746167,-18.69101893115889
66.834392,2.230706828434658,-0.7795050443782602,7.469206040837493,2.230706828434658,-0.7795050443782602,-19.261613945538308
69.183097,2.212771447010046,-0.8001602690725675,7.432442412915141,2.212771447010046,-0.8001602690725675,-19.88049681855058
71.614341,2.194257983541159,-0.8219780762515949,7.396052559352288,2.194257983541159,-0.8219780762515949,-20.536156712628063
74.131024,2.1757602021355074,-0.8434466666960895,7.36024581953747,2.1757602021355074,-0.8434466666960895,-21.18912421973346
76.736149,2.1550839143334968,-0.8644757753840344,7.317261258775039,2.1550839143334968,-0.8644757753840344,-21.857361225074733
79.432823,2.133553881211959,-0.8851073458663266,7.271724525949903,2.133553881211959,-0.8851073458663266,-22.531175678296215
82.224265,2.111035303529744,-0.906184953491878,7.224398632798904,2.111035303529744,-0.906184953491878,-23.231956980746187
85.113804,2.08723537912503,-0.9278881548806702,7.174647847205515,2.08723537912503,-0.9278881548806702,-23.96771481070707
88.104887,2.0623767218886817,-0.9484329682368061,7.120536392234999,2.0623767218886817,-0.9484329682368061,-24.696460835626706
91.201084,2.0376002254743817,-0.9696888594158954,7.068978759163192,2.0376002254743817,-0.9696888594158954,-25.449660174702387
94.406088,2.0109493659488544,-0.9893482839726448,7.009396064233135,2.0109493659488544,-0.9893482839726448,-26.196295918773593
97.723722,1.9817921031926289,-1.0110083988494065,6.945734304745024,1.9817921031926289,-1.0110083988494065,-27.028336350780084
101.157945,1.953751885306443,-1.0299306169168037,6.882332048214893,1.953751885306443,-1.0299306169168037,-27.796193032257076
104.712855,1.9234526712691804,-1.0495928902392653,6.813602371077872,1.9234526712691804,-1.0495928902392653,-28.620488610317615
108.392691,1.8922340018120285,-1.068146099815092,6.740786702258036,1.8922340018120285,-1.068146099815092,-29.44426881388095
112.201845,1.8590650854947586,-1.0866328479933265,6.662271622155313,1.8590650854947586,-1.0866328479933265,-30.306499648180516
116.144861,1.8262762353302369,-1.10510979505424,6.58636382988394,1.8262762353302369,-1.10510979505424,-31.178822324934046
120.226443,1.791947589116789,-1.12056003462576,6.499897942005389,1.791947589116789,-1.12056003462576,-32.01901097314473
124.451461,1.755997761958029,-1.13729804722846,6.411740648895189,1.755997761958029,-1.13729804722846,-32.92971193156497
128.824955,1.7197384887352127,-1.153484877358567,6.322575955315747,1.7197384887352127,-1.153484877358567,-33.85105039401673
133.352143,1.6828382150612218,-1.1669476640714551,6.225985307237014,1.6828382150612218,-1.1669476640714551,-34.73899441424363
138.038426,1.6444419183549674,-1.1801699090622044,6.124649290546447,1.6444419183549674,-1.1801699090622044,-35.665944503788914
142.889396,1.605671517901182,-1.1914730848955075,6.018198833952822,1.605671517901182,-1.1914730848955075,-36.576906676807965
147.910839,1.5660134505473833,-1.2031729854735773,5.910672083612218,1.5660134505473833,-1.2031729854735773,-37.53518438331085
153.108746,1.5244230242978747,-1.2128050257044733,5.791844957687131,1.5244230242978747,-1.2128050257044733,-38.50516072039247
158.489319,1.4848224081776584,-1.220994072751769,5.676760399518504,1.4848224081776584,-1.220994072751769,-39.43102739637063
164.058977,1.4422424266363865,-1.2275729718073871,5.547312093874473,1.4422424266363865,-1.2275729718073871,-40.402959405796175
169.824365,1.4004019370076635,-1.2335223065163625,5.419164232876516,1.4004019370076635,-1.2335223065163625,-41.37471149400588
175.792361,1.3571794721943058,-1.2369890907867298,5.278976285978184,1.3571794721943058,-1.2369890907867298,-42.347327128566285
181.970086,1.314529246948503,-1.2405265409993014,5.141349422398794,1.314529246948503,-1.2405265409993014,-43.34099211234961
188.364909,1.2733136367533495,-1.2417226768479728,5.001270396575036,1.2733136367533495,-1.2417226768479728,-44.2803549275309
194.98446,1.2298049973954381,-1.2426377491504064,4.85234190962854,1.2298049973954381,-1.2426377491504064,-45.2973803594582
201.836636,1.18687449555829,-1.2407560303353842,4.695490747859043,1.18687449555829,-1.2407560303353842,-46.27147756375933
208.929613,1.1450308935447426,-1.237531465008768,4.53712676834016,1.1450308935447426,-1.237531465008768,-47.22333400337789
216.271852,1.1023843744202009,-1.2327107496888245,4.369298749849866,1.1023843744202009,-1.2327107496888245,-48.19447901617562
223.872114,1.0591698382309478,-1.2275288129932986,4.197356941827199,1.0591698382309478,-1.2275288129932986,-49.21082391658625
231.739465,1.0191227387089952,-1.2198533549796897,4.0254566442194255,1.0191227387089952,-1.2198533549796897,-50.12303425434555
239.883292,0.9775984092888795,-1.211580618947786,3.8446564693339043,0.9775984092888795,-1.211580618947786,-51.10068476789208
248.313311,0.936991537500186,-1.2028223319424272,3.663733987953698,0.936991537500186,-1.2028223319424272,-52.08161851192921
257.039578,0.8966803313925055,-1.191374045020007,3.4701911157747833,0.8966803313925055,-1.191374045020007,-53.0332777072591
266.072506,0.8578553301905366,-1.1795627927428827,3.278255041686593,0.8578553301905366,-1.1795627927428827,-53.97289726565311
275.42287,0.8204934486340472,-1.16603937434419,3.081068982930269,0.8204934486340472,-1.16603937434419,-54.86754142837859
285.101827,0.7828769107792066,-1.1512799075344986,2.8743033511347487,0.7828769107792066,-1.1512799075344986,-55.7840741596566
295.120923,0.7469769099334431,-1.1367394475564099,2.6720719252332104,0.7469769099334431,-1.1367394475564099,-56.690189337198255
305.492111,0.7114847873422087,-1.1203541253294682,2.4585897055242176,0.7114847873422087,-1.1203541253294682,-57.58226901000955
316.227766,0.6768143871404684,-1.1035105112924983,2.2422559739333847,0.6768143871404684,-1.1035105112924983,-58.478026228945886
