Freq.	V(2,1)/V(A)
1.00000000000000e+01	(-3.13236798048936e+01dB,8.89222132805255e+01°)
1.00230523807790e+01	(-3.13036868973467e+01dB,8.89197293136286e+01°)
1.00461579027839e+01	(-3.12836940225275e+01dB,8.89172396246722e+01°)
1.00693166885180e+01	(-3.12637011805867e+01dB,8.89147442004938e+01°)
1.00925288607668e+01	(-3.12437083716716e+01dB,8.89122430279000e+01°)
1.01157945425990e+01	(-3.12237155959383e+01dB,8.89097360936691e+01°)
1.01391138573668e+01	(-3.12037228535356e+01dB,8.89072233845462e+01°)
1.01624869287070e+01	(-3.11837301446300e+01dB,8.89047048872506e+01°)
1.01859138805412e+01	(-3.11637374693540e+01dB,8.89021805884655e+01°)
1.02093948370768e+01	(-3.11437448278798e+01dB,8.88996504748477e+01°)
1.02329299228075e+01	(-3.11237522203589e+01dB,8.88971145330228e+01°)
1.02565192625141e+01	(-3.11037596469490e+01dB,8.88945727495851e+01°)
1.02801629812647e+01	(-3.10837671078059e+01dB,8.88920251110978e+01°)
1.03038612044162e+01	(-3.10637746030888e+01dB,8.88894716040942e+01°)
1.03276140576140e+01	(-3.10437821329518e+01dB,8.88869122150763e+01°)
1.03514216667934e+01	(-3.10237896975530e+01dB,8.88843469305145e+01°)
1.03752841581801e+01	(-3.10037972970653e+01dB,8.88817757368508e+01°)
1.03992016582906e+01	(-3.09838049316451e+01dB,8.88791986204942e+01°)
1.04231742939330e+01	(-3.09638126014423e+01dB,8.88766155678205e+01°)
1.04472021922080e+01	(-3.09438203066351e+01dB,8.88740265651794e+01°)
1.04712854805090e+01	(-3.09238280473720e+01dB,8.88714315988845e+01°)
1.04954242865232e+01	(-3.09038358238299e+01dB,8.88688306552214e+01°)
1.05196187382322e+01	(-3.08838436361644e+01dB,8.88662237204426e+01°)
1.05438689639126e+01	(-3.08638514845511e+01dB,8.88636107807704e+01°)
1.05681750921366e+01	(-3.08438593691486e+01dB,8.88609918223935e+01°)
1.05925372517729e+01	(-3.08238672901223e+01dB,8.88583668314697e+01°)
1.06169555719872e+01	(-3.08038752476442e+01dB,8.88557357941279e+01°)
1.06414301822431e+01	(-3.07838832418781e+01dB,8.88530986964604e+01°)
1.06659612123026e+01	(-3.07638912730018e+01dB,8.88504555245329e+01°)
1.06905487922266e+01	(-3.07438993411767e+01dB,8.88478062643742e+01°)
1.07151930523760e+01	(-3.07239074465834e+01dB,8.88451509019853e+01°)
1.07398941234124e+01	(-3.07039155893790e+01dB,8.88424894233315e+01°)
1.07646521362983e+01	(-3.06839237697586e+01dB,8.88398218143508e+01°)
1.07894672222983e+01	(-3.06639319878739e+01dB,8.88371480609433e+01°)
1.08143395129794e+01	(-3.06439402439044e+01dB,8.88344681489801e+01°)
1.08392691402120e+01	(-3.06239485380290e+01dB,8.88317820642998e+01°)
1.08642562361706e+01	(-3.06039568704204e+01dB,8.88290897927086e+01°)
1.08893009333343e+01	(-3.05839652412560e+01dB,8.88263913199794e+01°)
1.09144033644875e+01	(-3.05639736507116e+01dB,8.88236866318528e+01°)
1.09395636627209e+01	(-3.05439820989738e+01dB,8.88209757140391e+01°)
1.09647819614318e+01	(-3.05239905862110e+01dB,8.88182585522112e+01°)
1.09900583943252e+01	(-3.05039991126028e+01dB,8.88155351320126e+01°)
1.10153930954141e+01	(-3.04840076783397e+01dB,8.88128054390541e+01°)
1.10407861990207e+01	(-3.04640162835885e+01dB,8.88100694589111e+01°)
1.10662378397766e+01	(-3.04440249285526e+01dB,8.88073271771306e+01°)
1.10917481526240e+01	(-3.04240336133920e+01dB,8.88045785792197e+01°)
1.11173172728159e+01	(-3.04040423383133e+01dB,8.88018236506599e+01°)
1.11429453359173e+01	(-3.03840511034781e+01dB,8.87990623768928e+01°)
1.11686324778056e+01	(-3.03640599090934e+01dB,8.87962947433321e+01°)
1.11943788346715e+01	(-3.03440687553222e+01dB,8.87935207353527e+01°)
1.12201845430196e+01	(-3.03240776423735e+01dB,8.87907403383022e+01°)
1.12460497396692e+01	(-3.03040865704278e+01dB,8.87879535374903e+01°)
1.12719745617551e+01	(-3.02840955396756e+01dB,8.87851603181951e+01°)
1.12979591467279e+01	(-3.02641045502991e+01dB,8.87823606656585e+01°)
1.13240036323555e+01	(-3.02441136024935e+01dB,8.87795545650916e+01°)
1.13501081567231e+01	(-3.02241226964587e+01dB,8.87767420016716e+01°)
1.13762728582343e+01	(-3.02041318323783e+01dB,8.87739229605400e+01°)
1.14024978756117e+01	(-3.01841410104458e+01dB,8.87710974268043e+01°)
1.14287833478977e+01	(-3.01641502308595e+01dB,8.87682653855395e+01°)
1.14551294144553e+01	(-3.01441594938172e+01dB,8.87654268217868e+01°)
1.14815362149688e+01	(-3.01241687995048e+01dB,8.87625817205497e+01°)
1.15080038894443e+01	(-3.01041781481248e+01dB,8.87597300668014e+01°)
1.15345325782109e+01	(-3.00841875398779e+01dB,8.87568718454796e+01°)
1.15611224219209e+01	(-3.00641969749611e+01dB,8.87540070414863e+01°)
1.15877735615512e+01	(-3.00442064535727e+01dB,8.87511356396903e+01°)
1.16144861384034e+01	(-3.00242159759188e+01dB,8.87482576249259e+01°)
1.16412602941049e+01	(-3.00042255421979e+01dB,8.87453729819922e+01°)
1.16680961706096e+01	(-2.99842351526008e+01dB,8.87424816956509e+01°)
1.16949939101987e+01	(-2.99642448073496e+01dB,8.87395837506351e+01°)
1.17219536554813e+01	(-2.99442545066439e+01dB,8.87366791316387e+01°)
1.17489755493953e+01	(-2.99242642506846e+01dB,8.87337678233210e+01°)
1.17760597352080e+01	(-2.99042740396778e+01dB,8.87308498103059e+01°)
1.18032063565173e+01	(-2.98842838738334e+01dB,8.87279250771840e+01°)
1.18304155572516e+01	(-2.98642937533621e+01dB,8.87249936085097e+01°)
1.18576874816716e+01	(-2.98443036784599e+01dB,8.87220553887996e+01°)
1.18850222743701e+01	(-2.98243136493585e+01dB,8.87191104025414e+01°)
1.19124200802737e+01	(-2.98043236662555e+01dB,8.87161586341809e+01°)
1.19398810446427e+01	(-2.97843337293558e+01dB,8.87132000681302e+01°)
1.19674053130724e+01	(-2.97643438388950e+01dB,8.87102346887690e+01°)
1.19949930314937e+01	(-2.97443539950654e+01dB,8.87072624804356e+01°)
1.20226443461741e+01	(-2.97243641980947e+01dB,8.87042834274376e+01°)
1.20503594037179e+01	(-2.97043744481928e+01dB,8.87012975140440e+01°)
1.20781383510677e+01	(-2.96843847455751e+01dB,8.86983047244885e+01°)
1.21059813355048e+01	(-2.96643950904694e+01dB,8.86953050429703e+01°)
1.21338885046497e+01	(-2.96444054830829e+01dB,8.86922984536496e+01°)
1.21618600064636e+01	(-2.96244159236484e+01dB,8.86892849406532e+01°)
1.21898959892486e+01	(-2.96044264123780e+01dB,8.86862644880698e+01°)
1.22179966016487e+01	(-2.95844369494949e+01dB,8.86832370799524e+01°)
1.22461619926504e+01	(-2.95644475352218e+01dB,8.86802027003172e+01°)
1.22743923115840e+01	(-2.95444581697855e+01dB,8.86771613331452e+01°)
1.23026877081238e+01	(-2.95244688534081e+01dB,8.86741129623793e+01°)
1.23310483322890e+01	(-2.95044795863211e+01dB,8.86710575719270e+01°)
1.23594743344450e+01	(-2.94844903687471e+01dB,8.86679951456581e+01°)
1.23879658653036e+01	(-2.94645012009128e+01dB,8.86649256674049e+01°)
1.24165230759240e+01	(-2.94445120830542e+01dB,8.86618491209660e+01°)
1.24451461177138e+01	(-2.94245230153944e+01dB,8.86587654900986e+01°)
1.24738351424294e+01	(-2.94045339981746e+01dB,8.86556747585271e+01°)
1.25025903021771e+01	(-2.93845450316154e+01dB,8.86525769099346e+01°)
1.25314117494141e+01	(-2.93645561159544e+01dB,8.86494719279703e+01°)
1.25602996369487e+01	(-2.93445672514274e+01dB,8.86463597962441e+01°)
1.25892541179416e+01	(-2.93245784382787e+01dB,8.86432404983312e+01°)
1.26182753459066e+01	(-2.93045896767329e+01dB,8.86401140177652e+01°)
1.26473634747114e+01	(-2.92846009670279e+01dB,8.86369803380443e+01°)
1.26765186585784e+01	(-2.92646123094111e+01dB,8.86338394426306e+01°)
1.27057410520853e+01	(-2.92446237041234e+01dB,8.86306913149467e+01°)
1.27350308101665e+01	(-2.92246351513930e+01dB,8.86275359383756e+01°)
1.27643880881134e+01	(-2.92046466514720e+01dB,8.86243732962661e+01°)
1.27938130415752e+01	(-2.91846582046063e+01dB,8.86212033719272e+01°)
1.28233058265601e+01	(-2.91646698110359e+01dB,8.86180261486294e+01°)
1.28528665994361e+01	(-2.91446814710006e+01dB,8.86148416096048e+01°)
1.28824955169313e+01	(-2.91246931847594e+01dB,8.86116497380501e+01°)
1.29121927361353e+01	(-2.91047049525531e+01dB,8.86084505171199e+01°)
1.29419584144998e+01	(-2.90847167746332e+01dB,8.86052439299324e+01°)
1.29717927098395e+01	(-2.90647286512527e+01dB,8.86020299595680e+01°)
1.30016957803328e+01	(-2.90447405826523e+01dB,8.85988085890649e+01°)
1.30316677845229e+01	(-2.90247525690961e+01dB,8.85955798014278e+01°)
1.30617088813183e+01	(-2.90047646108286e+01dB,8.85923435796179e+01°)
1.30918192299940e+01	(-2.89847767081116e+01dB,8.85890999065612e+01°)
1.31219989901919e+01	(-2.89647888612009e+01dB,8.85858487651433e+01°)
1.31522483219223e+01	(-2.89448010703548e+01dB,8.85825901382101e+01°)
1.31825673855640e+01	(-2.89248133358300e+01dB,8.85793240085698e+01°)
1.32129563418657e+01	(-2.89048256578801e+01dB,8.85760503589888e+01°)
1.32434153519466e+01	(-2.88848380367725e+01dB,8.85727691721977e+01°)
1.32739445772973e+01	(-2.88648504727619e+01dB,8.85694804308842e+01°)
1.33045441797808e+01	(-2.88448629661242e+01dB,8.85661841177010e+01°)
1.33352143216332e+01	(-2.88248755171189e+01dB,8.85628802152577e+01°)
1.33659551654643e+01	(-2.88048881260057e+01dB,8.85595687061240e+01°)
1.33967668742593e+01	(-2.87849007930584e+01dB,8.85562495728327e+01°)
1.34276496113785e+01	(-2.87649135185390e+01dB,8.85529227978740e+01°)
1.34586035405594e+01	(-2.87449263027192e+01dB,8.85495883636997e+01°)
1.34896288259164e+01	(-2.87249391458765e+01dB,8.85462462527224e+01°)
1.35207256319427e+01	(-2.87049520482768e+01dB,8.85428964473125e+01°)
1.35518941235103e+01	(-2.86849650101838e+01dB,8.85395389298003e+01°)
1.35831344658714e+01	(-2.86649780318933e+01dB,8.85361736824794e+01°)
1.36144468246594e+01	(-2.86449911136605e+01dB,8.85328006875977e+01°)
1.36458313658891e+01	(-2.86250042557732e+01dB,8.85294199273674e+01°)
1.36772882559584e+01	(-2.86050174585065e+01dB,8.85260313839569e+01°)
1.37088176616484e+01	(-2.85850307221435e+01dB,8.85226350394970e+01°)
1.37404197501250e+01	(-2.85650440469561e+01dB,8.85192308760734e+01°)
1.37720946889394e+01	(-2.85450574332403e+01dB,8.85158188757377e+01°)
