Freq.	V(7,8)/V(A)
1.00000000000000e+01	(-4.07685065260200e+01dB,8.89222132805264e+01°)
1.00230523807790e+01	(-4.07485136184732e+01dB,8.89197293136295e+01°)
1.00461579027839e+01	(-4.07285207436539e+01dB,8.89172396246730e+01°)
1.00693166885180e+01	(-4.07085279017132e+01dB,8.89147442004945e+01°)
1.00925288607668e+01	(-4.06885350927980e+01dB,8.89122430279008e+01°)
1.01157945425990e+01	(-4.06685423170648e+01dB,8.89097360936695e+01°)
1.01391138573668e+01	(-4.06485495746621e+01dB,8.89072233845469e+01°)
1.01624869287070e+01	(-4.06285568657564e+01dB,8.89047048872513e+01°)
1.01859138805412e+01	(-4.06085641904804e+01dB,8.89021805884659e+01°)
1.02093948370768e+01	(-4.05885715490063e+01dB,8.88996504748485e+01°)
1.02329299228075e+01	(-4.05685789414853e+01dB,8.88971145330236e+01°)
1.02565192625141e+01	(-4.05485863680755e+01dB,8.88945727495858e+01°)
1.02801629812647e+01	(-4.05285938289323e+01dB,8.88920251110986e+01°)
1.03038612044162e+01	(-4.05086013242152e+01dB,8.88894716040951e+01°)
1.03276140576140e+01	(-4.04886088540783e+01dB,8.88869122150770e+01°)
1.03514216667934e+01	(-4.04686164186794e+01dB,8.88843469305151e+01°)
1.03752841581801e+01	(-4.04486240181918e+01dB,8.88817757368515e+01°)
1.03992016582906e+01	(-4.04286316527715e+01dB,8.88791986204947e+01°)
1.04231742939330e+01	(-4.04086393225688e+01dB,8.88766155678212e+01°)
1.04472021922080e+01	(-4.03886470277615e+01dB,8.88740265651802e+01°)
1.04712854805090e+01	(-4.03686547684985e+01dB,8.88714315988852e+01°)
1.04954242865232e+01	(-4.03486625449563e+01dB,8.88688306552223e+01°)
1.05196187382322e+01	(-4.03286703572909e+01dB,8.88662237204433e+01°)
1.05438689639126e+01	(-4.03086782056775e+01dB,8.88636107807709e+01°)
1.05681750921366e+01	(-4.02886860902750e+01dB,8.88609918223940e+01°)
1.05925372517729e+01	(-4.02686940112488e+01dB,8.88583668314709e+01°)
1.06169555719872e+01	(-4.02487019687706e+01dB,8.88557357941285e+01°)
1.06414301822431e+01	(-4.02287099630045e+01dB,8.88530986964613e+01°)
1.06659612123026e+01	(-4.02087179941282e+01dB,8.88504555245334e+01°)
1.06905487922266e+01	(-4.01887260623032e+01dB,8.88478062643748e+01°)
1.07151930523760e+01	(-4.01687341677099e+01dB,8.88451509019860e+01°)
1.07398941234124e+01	(-4.01487423105054e+01dB,8.88424894233322e+01°)
1.07646521362983e+01	(-4.01287504908851e+01dB,8.88398218143515e+01°)
1.07894672222983e+01	(-4.01087587090004e+01dB,8.88371480609439e+01°)
1.08143395129794e+01	(-4.00887669650309e+01dB,8.88344681489806e+01°)
1.08392691402120e+01	(-4.00687752591554e+01dB,8.88317820643006e+01°)
1.08642562361706e+01	(-4.00487835915468e+01dB,8.88290897927092e+01°)
1.08893009333343e+01	(-4.00287919623824e+01dB,8.88263913199800e+01°)
1.09144033644875e+01	(-4.00088003718381e+01dB,8.88236866318537e+01°)
1.09395636627209e+01	(-3.99888088201002e+01dB,8.88209757140396e+01°)
1.09647819614318e+01	(-3.99688173073374e+01dB,8.88182585522119e+01°)
1.09900583943252e+01	(-3.99488258337293e+01dB,8.88155351320132e+01°)
1.10153930954141e+01	(-3.99288343994662e+01dB,8.88128054390549e+01°)
1.10407861990207e+01	(-3.99088430047149e+01dB,8.88100694589119e+01°)
1.10662378397766e+01	(-3.98888516496791e+01dB,8.88073271771312e+01°)
1.10917481526240e+01	(-3.98688603345185e+01dB,8.88045785792206e+01°)
1.11173172728159e+01	(-3.98488690594398e+01dB,8.88018236506609e+01°)
1.11429453359173e+01	(-3.98288778246046e+01dB,8.87990623768935e+01°)
1.11686324778056e+01	(-3.98088866302198e+01dB,8.87962947433329e+01°)
1.11943788346715e+01	(-3.97888954764487e+01dB,8.87935207353535e+01°)
1.12201845430196e+01	(-3.97689043635000e+01dB,8.87907403383030e+01°)
1.12460497396692e+01	(-3.97489132915542e+01dB,8.87879535374912e+01°)
1.12719745617551e+01	(-3.97289222608020e+01dB,8.87851603181957e+01°)
1.12979591467279e+01	(-3.97089312714256e+01dB,8.87823606656593e+01°)
1.13240036323555e+01	(-3.96889403236200e+01dB,8.87795545650924e+01°)
1.13501081567231e+01	(-3.96689494175851e+01dB,8.87767420016725e+01°)
1.13762728582343e+01	(-3.96489585535047e+01dB,8.87739229605406e+01°)
1.14024978756117e+01	(-3.96289677315723e+01dB,8.87710974268049e+01°)
1.14287833478977e+01	(-3.96089769519859e+01dB,8.87682653855403e+01°)
1.14551294144553e+01	(-3.95889862149436e+01dB,8.87654268217874e+01°)
1.14815362149688e+01	(-3.95689955206312e+01dB,8.87625817205505e+01°)
1.15080038894443e+01	(-3.95490048692512e+01dB,8.87597300668022e+01°)
1.15345325782109e+01	(-3.95290142610043e+01dB,8.87568718454802e+01°)
1.15611224219209e+01	(-3.95090236960875e+01dB,8.87540070414871e+01°)
1.15877735615512e+01	(-3.94890331746992e+01dB,8.87511356396911e+01°)
1.16144861384034e+01	(-3.94690426970453e+01dB,8.87482576249268e+01°)
1.16412602941049e+01	(-3.94490522633244e+01dB,8.87453729819927e+01°)
1.16680961706096e+01	(-3.94290618737273e+01dB,8.87424816956517e+01°)
1.16949939101987e+01	(-3.94090715284761e+01dB,8.87395837506361e+01°)
1.17219536554813e+01	(-3.93890812277704e+01dB,8.87366791316397e+01°)
1.17489755493953e+01	(-3.93690909718110e+01dB,8.87337678233218e+01°)
1.17760597352080e+01	(-3.93491007608042e+01dB,8.87308498103068e+01°)
1.18032063565173e+01	(-3.93291105949598e+01dB,8.87279250771848e+01°)
1.18304155572516e+01	(-3.93091204744885e+01dB,8.87249936085103e+01°)
1.18576874816716e+01	(-3.92891303995864e+01dB,8.87220553888006e+01°)
1.18850222743701e+01	(-3.92691403704849e+01dB,8.87191104025424e+01°)
1.19124200802737e+01	(-3.92491503873820e+01dB,8.87161586341820e+01°)
1.19398810446427e+01	(-3.92291604504822e+01dB,8.87132000681309e+01°)
1.19674053130724e+01	(-3.92091705600214e+01dB,8.87102346887696e+01°)
1.19949930314937e+01	(-3.91891807161919e+01dB,8.87072624804363e+01°)
1.20226443461741e+01	(-3.91691909192211e+01dB,8.87042834274385e+01°)
1.20503594037179e+01	(-3.91492011693193e+01dB,8.87012975140450e+01°)
1.20781383510677e+01	(-3.91292114667015e+01dB,8.86983047244895e+01°)
1.21059813355048e+01	(-3.91092218115959e+01dB,8.86953050429713e+01°)
1.21338885046497e+01	(-3.90892322042094e+01dB,8.86922984536503e+01°)
1.21618600064636e+01	(-3.90692426447749e+01dB,8.86892849406541e+01°)
1.21898959892486e+01	(-3.90492531335044e+01dB,8.86862644880706e+01°)
1.22179966016487e+01	(-3.90292636706213e+01dB,8.86832370799531e+01°)
1.22461619926504e+01	(-3.90092742563482e+01dB,8.86802027003181e+01°)
1.22743923115840e+01	(-3.89892848909120e+01dB,8.86771613331461e+01°)
1.23026877081238e+01	(-3.89692955745346e+01dB,8.86741129623801e+01°)
1.23310483322890e+01	(-3.89493063074476e+01dB,8.86710575719279e+01°)
1.23594743344450e+01	(-3.89293170898736e+01dB,8.86679951456588e+01°)
1.23879658653036e+01	(-3.89093279220392e+01dB,8.86649256674059e+01°)
1.24165230759240e+01	(-3.88893388041807e+01dB,8.86618491209667e+01°)
1.24451461177138e+01	(-3.88693497365209e+01dB,8.86587654900995e+01°)
1.24738351424294e+01	(-3.88493607193010e+01dB,8.86556747585280e+01°)
1.25025903021771e+01	(-3.88293717527418e+01dB,8.86525769099357e+01°)
1.25314117494141e+01	(-3.88093828370808e+01dB,8.86494719279711e+01°)
1.25602996369487e+01	(-3.87893939725539e+01dB,8.86463597962450e+01°)
1.25892541179416e+01	(-3.87694051594051e+01dB,8.86432404983321e+01°)
1.26182753459066e+01	(-3.87494163978594e+01dB,8.86401140177662e+01°)
1.26473634747114e+01	(-3.87294276881544e+01dB,8.86369803380453e+01°)
1.26765186585784e+01	(-3.87094390305375e+01dB,8.86338394426315e+01°)
1.27057410520853e+01	(-3.86894504252499e+01dB,8.86306913149476e+01°)
1.27350308101665e+01	(-3.86694618725194e+01dB,8.86275359383765e+01°)
1.27643880881134e+01	(-3.86494733725985e+01dB,8.86243732962668e+01°)
1.27938130415752e+01	(-3.86294849257328e+01dB,8.86212033719281e+01°)
1.28233058265601e+01	(-3.86094965321624e+01dB,8.86180261486304e+01°)
1.28528665994361e+01	(-3.85895081921270e+01dB,8.86148416096059e+01°)
1.28824955169313e+01	(-3.85695199058858e+01dB,8.86116497380509e+01°)
1.29121927361353e+01	(-3.85495316736795e+01dB,8.86084505171206e+01°)
1.29419584144998e+01	(-3.85295434957596e+01dB,8.86052439299333e+01°)
1.29717927098395e+01	(-3.85095553723791e+01dB,8.86020299595687e+01°)
1.30016957803328e+01	(-3.84895673037788e+01dB,8.85988085890658e+01°)
1.30316677845229e+01	(-3.84695792902225e+01dB,8.85955798014285e+01°)
