Freq.	V(5,6)/V(A)
1.00000000000000e+01	(-3.12648579826862e+01dB,8.89222132805265e+01°)
1.00230523807790e+01	(-3.12448650751393e+01dB,8.89197293136296e+01°)
1.00461579027839e+01	(-3.12248722003201e+01dB,8.89172396246731e+01°)
1.00693166885180e+01	(-3.12048793583793e+01dB,8.89147442004946e+01°)
1.00925288607668e+01	(-3.11848865494642e+01dB,8.89122430279003e+01°)
1.01157945425990e+01	(-3.11648937737309e+01dB,8.89097360936691e+01°)
1.01391138573668e+01	(-3.11449010313282e+01dB,8.89072233845465e+01°)
1.01624869287070e+01	(-3.11249083224226e+01dB,8.89047048872507e+01°)
1.01859138805412e+01	(-3.11049156471466e+01dB,8.89021805884655e+01°)
1.02093948370768e+01	(-3.10849230056724e+01dB,8.88996504748483e+01°)
1.02329299228075e+01	(-3.10649303981515e+01dB,8.88971145330234e+01°)
1.02565192625141e+01	(-3.10449378247416e+01dB,8.88945727495855e+01°)
1.02801629812647e+01	(-3.10249452855985e+01dB,8.88920251110984e+01°)
1.03038612044162e+01	(-3.10049527808814e+01dB,8.88894716040949e+01°)
1.03276140576140e+01	(-3.09849603107444e+01dB,8.88869122150770e+01°)
1.03514216667934e+01	(-3.09649678753455e+01dB,8.88843469305149e+01°)
1.03752841581801e+01	(-3.09449754748579e+01dB,8.88817757368515e+01°)
1.03992016582906e+01	(-3.09249831094377e+01dB,8.88791986204947e+01°)
1.04231742939330e+01	(-3.09049907792349e+01dB,8.88766155678215e+01°)
1.04472021922080e+01	(-3.08849984844276e+01dB,8.88740265651800e+01°)
1.04712854805090e+01	(-3.08650062251646e+01dB,8.88714315988851e+01°)
1.04954242865232e+01	(-3.08450140016224e+01dB,8.88688306552219e+01°)
1.05196187382322e+01	(-3.08250218139570e+01dB,8.88662237204431e+01°)
1.05438689639126e+01	(-3.08050296623437e+01dB,8.88636107807705e+01°)
1.05681750921366e+01	(-3.07850375469411e+01dB,8.88609918223937e+01°)
1.05925372517729e+01	(-3.07650454679149e+01dB,8.88583668314710e+01°)
1.06169555719872e+01	(-3.07450534254367e+01dB,8.88557357941284e+01°)
1.06414301822431e+01	(-3.07250614196706e+01dB,8.88530986964613e+01°)
1.06659612123026e+01	(-3.07050694507944e+01dB,8.88504555245331e+01°)
1.06905487922266e+01	(-3.06850775189693e+01dB,8.88478062643742e+01°)
1.07151930523760e+01	(-3.06650856243760e+01dB,8.88451509019861e+01°)
1.07398941234124e+01	(-3.06450937671715e+01dB,8.88424894233320e+01°)
1.07646521362983e+01	(-3.06251019475512e+01dB,8.88398218143513e+01°)
1.07894672222983e+01	(-3.06051101656665e+01dB,8.88371480609435e+01°)
1.08143395129794e+01	(-3.05851184216970e+01dB,8.88344681489802e+01°)
1.08392691402120e+01	(-3.05651267158216e+01dB,8.88317820643007e+01°)
1.08642562361706e+01	(-3.05451350482130e+01dB,8.88290897927090e+01°)
1.08893009333343e+01	(-3.05251434190486e+01dB,8.88263913199798e+01°)
1.09144033644875e+01	(-3.05051518285042e+01dB,8.88236866318533e+01°)
1.09395636627209e+01	(-3.04851602767663e+01dB,8.88209757140395e+01°)
1.09647819614318e+01	(-3.04651687640036e+01dB,8.88182585522120e+01°)
1.09900583943252e+01	(-3.04451772903954e+01dB,8.88155351320128e+01°)
1.10153930954141e+01	(-3.04251858561323e+01dB,8.88128054390549e+01°)
1.10407861990207e+01	(-3.04051944613810e+01dB,8.88100694589119e+01°)
1.10662378397766e+01	(-3.03852031063452e+01dB,8.88073271771308e+01°)
1.10917481526240e+01	(-3.03652117911846e+01dB,8.88045785792204e+01°)
1.11173172728159e+01	(-3.03452205161059e+01dB,8.88018236506607e+01°)
1.11429453359173e+01	(-3.03252292812707e+01dB,8.87990623768931e+01°)
1.11686324778056e+01	(-3.03052380868860e+01dB,8.87962947433326e+01°)
1.11943788346715e+01	(-3.02852469331148e+01dB,8.87935207353533e+01°)
1.12201845430196e+01	(-3.02652558201661e+01dB,8.87907403383027e+01°)
1.12460497396692e+01	(-3.02452647482204e+01dB,8.87879535374907e+01°)
1.12719745617551e+01	(-3.02252737174681e+01dB,8.87851603181955e+01°)
1.12979591467279e+01	(-3.02052827280917e+01dB,8.87823606656589e+01°)
1.13240036323555e+01	(-3.01852917802861e+01dB,8.87795545650923e+01°)
1.13501081567231e+01	(-3.01653008742513e+01dB,8.87767420016721e+01°)
1.13762728582343e+01	(-3.01453100101709e+01dB,8.87739229605406e+01°)
1.14024978756117e+01	(-3.01253191882384e+01dB,8.87710974268047e+01°)
1.14287833478977e+01	(-3.01053284086521e+01dB,8.87682653855403e+01°)
1.14551294144553e+01	(-3.00853376716098e+01dB,8.87654268217871e+01°)
1.14815362149688e+01	(-3.00653469772974e+01dB,8.87625817205502e+01°)
1.15080038894443e+01	(-3.00453563259173e+01dB,8.87597300668020e+01°)
1.15345325782109e+01	(-3.00253657176705e+01dB,8.87568718454800e+01°)
1.15611224219209e+01	(-3.00053751527536e+01dB,8.87540070414867e+01°)
1.15877735615512e+01	(-2.99853846313653e+01dB,8.87511356396907e+01°)
1.16144861384034e+01	(-2.99653941537114e+01dB,8.87482576249265e+01°)
1.16412602941049e+01	(-2.99454037199905e+01dB,8.87453729819925e+01°)
1.16680961706096e+01	(-2.99254133303934e+01dB,8.87424816956515e+01°)
1.16949939101987e+01	(-2.99054229851422e+01dB,8.87395837506356e+01°)
1.17219536554813e+01	(-2.98854326844365e+01dB,8.87366791316395e+01°)
1.17489755493953e+01	(-2.98654424284772e+01dB,8.87337678233216e+01°)
1.17760597352080e+01	(-2.98454522174704e+01dB,8.87308498103066e+01°)
1.18032063565173e+01	(-2.98254620516260e+01dB,8.87279250771846e+01°)
1.18304155572516e+01	(-2.98054719311547e+01dB,8.87249936085101e+01°)
1.18576874816716e+01	(-2.97854818562525e+01dB,8.87220553888004e+01°)
1.18850222743701e+01	(-2.97654918271511e+01dB,8.87191104025421e+01°)
1.19124200802737e+01	(-2.97455018440481e+01dB,8.87161586341818e+01°)
1.19398810446427e+01	(-2.97255119071483e+01dB,8.87132000681305e+01°)
1.19674053130724e+01	(-2.97055220166876e+01dB,8.87102346887692e+01°)
1.19949930314937e+01	(-2.96855321728581e+01dB,8.87072624804361e+01°)
1.20226443461741e+01	(-2.96655423758873e+01dB,8.87042834274381e+01°)
1.20503594037179e+01	(-2.96455526259854e+01dB,8.87012975140448e+01°)
1.20781383510677e+01	(-2.96255629233677e+01dB,8.86983047244892e+01°)
1.21059813355048e+01	(-2.96055732682621e+01dB,8.86953050429708e+01°)
1.21338885046497e+01	(-2.95855836608755e+01dB,8.86922984536501e+01°)
1.21618600064636e+01	(-2.95655941014410e+01dB,8.86892849406538e+01°)
1.21898959892486e+01	(-2.95456045901706e+01dB,8.86862644880706e+01°)
1.22179966016487e+01	(-2.95256151272874e+01dB,8.86832370799531e+01°)
1.22461619926504e+01	(-2.95056257130143e+01dB,8.86802027003177e+01°)
1.22743923115840e+01	(-2.94856363475781e+01dB,8.86771613331459e+01°)
1.23026877081238e+01	(-2.94656470312007e+01dB,8.86741129623801e+01°)
1.23310483322890e+01	(-2.94456577641137e+01dB,8.86710575719276e+01°)
1.23594743344450e+01	(-2.94256685465397e+01dB,8.86679951456585e+01°)
1.23879658653036e+01	(-2.94056793787054e+01dB,8.86649256674057e+01°)
1.24165230759240e+01	(-2.93856902608468e+01dB,8.86618491209667e+01°)
1.24451461177138e+01	(-2.93657011931870e+01dB,8.86587654900992e+01°)
1.24738351424294e+01	(-2.93457121759672e+01dB,8.86556747585278e+01°)
1.25025903021771e+01	(-2.93257232094080e+01dB,8.86525769099354e+01°)
1.25314117494141e+01	(-2.93057342937469e+01dB,8.86494719279706e+01°)
1.25602996369487e+01	(-2.92857454292200e+01dB,8.86463597962446e+01°)
1.25892541179416e+01	(-2.92657566160713e+01dB,8.86432404983318e+01°)
1.26182753459066e+01	(-2.92457678545255e+01dB,8.86401140177659e+01°)
1.26473634747114e+01	(-2.92257791448205e+01dB,8.86369803380449e+01°)
1.26765186585784e+01	(-2.92057904872036e+01dB,8.86338394426313e+01°)
1.27057410520853e+01	(-2.91858018819160e+01dB,8.86306913149473e+01°)
1.27350308101665e+01	(-2.91658133291855e+01dB,8.86275359383762e+01°)
1.27643880881134e+01	(-2.91458248292646e+01dB,8.86243732962666e+01°)
1.27938130415752e+01	(-2.91258363823989e+01dB,8.86212033719276e+01°)
1.28233058265601e+01	(-2.91058479888285e+01dB,8.86180261486302e+01°)
1.28528665994361e+01	(-2.90858596487931e+01dB,8.86148416096056e+01°)
1.28824955169313e+01	(-2.90658713625520e+01dB,8.86116497380505e+01°)
1.29121927361353e+01	(-2.90458831303456e+01dB,8.86084505171206e+01°)
1.29419584144998e+01	(-2.90258949524258e+01dB,8.86052439299332e+01°)
1.29717927098395e+01	(-2.90059068290452e+01dB,8.86020299595682e+01°)
