Freq.	V(4)/I(RDC_43)
1.00000000000000e+01	(-2.18166045102707e+01dB,9.59786062422857e-01°)
1.00230523807790e+01	(-2.18165419362634e+01dB,9.61956912305102e-01°)
1.00461579027839e+01	(-2.18164790792876e+01dB,9.64132481492652e-01°)
1.00693166885180e+01	(-2.18164159380879e+01dB,9.66312778933621e-01°)
1.00925288607668e+01	(-2.18163525114070e+01dB,9.68497813584227e-01°)
1.01157945425990e+01	(-2.18162887979830e+01dB,9.70687594408474e-01°)
1.01391138573668e+01	(-2.18162247965452e+01dB,9.72882130377613e-01°)
1.01624869287070e+01	(-2.18161605058235e+01dB,9.75081430471084e-01°)
1.01859138805412e+01	(-2.18160959245352e+01dB,9.77285503675052e-01°)
1.02093948370768e+01	(-2.18160310513962e+01dB,9.79494358983529e-01°)
1.02329299228075e+01	(-2.18159658851131e+01dB,9.81708005397453e-01°)
1.02565192625141e+01	(-2.18159004243953e+01dB,9.83926451925951e-01°)
1.02801629812647e+01	(-2.18158346679403e+01dB,9.86149707584667e-01°)
1.03038612044162e+01	(-2.18157686144406e+01dB,9.88377781396428e-01°)
1.03276140576140e+01	(-2.18157022625848e+01dB,9.90610682391311e-01°)
1.03514216667934e+01	(-2.18156356110516e+01dB,9.92848419605899e-01°)
1.03752841581801e+01	(-2.18155686585229e+01dB,9.95091002084692e-01°)
1.03992016582906e+01	(-2.18155014036656e+01dB,9.97338438877946e-01°)
1.04231742939330e+01	(-2.18154338451487e+01dB,9.99590739043624e-01°)
1.04472021922080e+01	(-2.18153659816308e+01dB,1.00184791164577e+00°)
1.04712854805090e+01	(-2.18152978117660e+01dB,1.00410996575526e+00°)
1.04954242865232e+01	(-2.18152293342054e+01dB,1.00637691044976e+00°)
1.05196187382322e+01	(-2.18151605475873e+01dB,1.00864875481260e+00°)
1.05438689639126e+01	(-2.18150914505529e+01dB,1.01092550793452e+00°)
1.05681750921366e+01	(-2.18150220417296e+01dB,1.01320717891162e+00°)
1.05925372517729e+01	(-2.18149523197492e+01dB,1.01549377684740e+00°)
1.06169555719872e+01	(-2.18148822832289e+01dB,1.01778531085048e+00°)
1.06414301822431e+01	(-2.18148119307841e+01dB,1.02008179003607e+00°)
1.06659612123026e+01	(-2.18147412610206e+01dB,1.02238322352486e+00°)
1.06905487922266e+01	(-2.18146702725431e+01dB,1.02468962044403e+00°)
1.07151930523760e+01	(-2.18145989639483e+01dB,1.02700098992633e+00°)
1.07398941234124e+01	(-2.18145273338289e+01dB,1.02931734111046e+00°)
1.07646521362983e+01	(-2.18144553807666e+01dB,1.03163868314018e+00°)
1.07894672222983e+01	(-2.18143831033438e+01dB,1.03396502516559e+00°)
1.08143395129794e+01	(-2.18143105001332e+01dB,1.03629637634184e+00°)
1.08392691402120e+01	(-2.18142375697011e+01dB,1.03863274582940e+00°)
1.08642562361706e+01	(-2.18141643106081e+01dB,1.04097414279408e+00°)
1.08893009333343e+01	(-2.18140907214126e+01dB,1.04332057640739e+00°)
1.09144033644875e+01	(-2.18140168006607e+01dB,1.04567205584519e+00°)
1.09395636627209e+01	(-2.18139425468990e+01dB,1.04802859028914e+00°)
