Freq.	V(1)/I(RDC_21)
1.00000000000000e+01	(-2.18289767314496e+01dB,9.99898461493906e-01°)
1.00230523807790e+01	(-2.18289706261959e+01dB,1.00220299582669e+00°)
1.00461579027839e+01	(-2.18289644927716e+01dB,1.00451283940507e+00°)
1.00693166885180e+01	(-2.18289583310444e+01dB,1.00682800444534e+00°)
1.00925288607668e+01	(-2.18289521408844e+01dB,1.00914850319208e+00°)
1.01157945425990e+01	(-2.18289459221631e+01dB,1.01147434791821e+00°)
1.01391138573668e+01	(-2.18289396747465e+01dB,1.01380555092419e+00°)
1.01624869287070e+01	(-2.18289333985001e+01dB,1.01614212453869e+00°)
1.01859138805412e+01	(-2.18289270932926e+01dB,1.01848408111911e+00°)
1.02093948370768e+01	(-2.18289207589920e+01dB,1.02083143305114e+00°)
1.02329299228075e+01	(-2.18289143954622e+01dB,1.02318419274846e+00°)
1.02565192625141e+01	(-2.18289080025687e+01dB,1.02554237265349e+00°)
1.02801629812647e+01	(-2.18289015801760e+01dB,1.02790598523706e+00°)
1.03038612044162e+01	(-2.18288951281493e+01dB,1.03027504299877e+00°)
1.03276140576140e+01	(-2.18288886463508e+01dB,1.03264955846662e+00°)
1.03514216667934e+01	(-2.18288821346445e+01dB,1.03502954419756e+00°)
1.03752841581801e+01	(-2.18288755928922e+01dB,1.03741501277715e+00°)
1.03992016582906e+01	(-2.18288690209530e+01dB,1.03980597681954e+00°)
1.04231742939330e+01	(-2.18288624186865e+01dB,1.04220244896796e+00°)
1.04472021922080e+01	(-2.18288557859601e+01dB,1.04460444189557e+00°)
1.04712854805090e+01	(-2.18288491226260e+01dB,1.04701196830285e+00°)
1.04954242865232e+01	(-2.18288424285465e+01dB,1.04942504092066e+00°)
1.05196187382322e+01	(-2.18288357035778e+01dB,1.05184367250841e+00°)
1.05438689639126e+01	(-2.18288289475792e+01dB,1.05426787585514e+00°)
1.05681750921366e+01	(-2.18288221604092e+01dB,1.05669766377923e+00°)
1.05925372517729e+01	(-2.18288153419177e+01dB,1.05913304912746e+00°)
1.06169555719872e+01	(-2.18288084919660e+01dB,1.06157404477744e+00°)
1.06414301822431e+01	(-2.18288016104077e+01dB,1.06402066363555e+00°)
1.06659612123026e+01	(-2.18287946970949e+01dB,1.06647291863751e+00°)
1.06905487922266e+01	(-2.18287877518858e+01dB,1.06893082274957e+00°)
1.07151930523760e+01	(-2.18287807746292e+01dB,1.07139438896664e+00°)
1.07398941234124e+01	(-2.18287737651767e+01dB,1.07386363031371e+00°)
1.07646521362983e+01	(-2.18287667233837e+01dB,1.07633855984633e+00°)
1.07894672222983e+01	(-2.18287596490983e+01dB,1.07881919064900e+00°)
1.08143395129794e+01	(-2.18287525421701e+01dB,1.08130553583648e+00°)
1.08392691402120e+01	(-2.18287454024487e+01dB,1.08379760855373e+00°)
1.08642562361706e+01	(-2.18287382297855e+01dB,1.08629542197604e+00°)
1.08893009333343e+01	(-2.18287310240235e+01dB,1.08879898930796e+00°)
1.09144033644875e+01	(-2.18287237850164e+01dB,1.09130832378574e+00°)
1.09395636627209e+01	(-2.18287165126082e+01dB,1.09382343867470e+00°)
1.09647819614318e+01	(-2.18287092066406e+01dB,1.09634434727052e+00°)
1.09900583943252e+01	(-2.18287018669669e+01dB,1.09887106290070e+00°)
1.10153930954141e+01	(-2.18286944934256e+01dB,1.10140359892157e+00°)
1.10407861990207e+01	(-2.18286870858621e+01dB,1.10394196872100e+00°)
1.10662378397766e+01	(-2.18286796441204e+01dB,1.10648618571747e+00°)
1.10917481526240e+01	(-2.18286721680415e+01dB,1.10903626335977e+00°)
1.11173172728159e+01	(-2.18286646574640e+01dB,1.11159221512743e+00°)
1.11429453359173e+01	(-2.18286571122369e+01dB,1.11415405453213e+00°)
1.11686324778056e+01	(-2.18286495321943e+01dB,1.11672179511476e+00°)
1.11943788346715e+01	(-2.18286419171783e+01dB,1.11929545044831e+00°)
1.12201845430196e+01	(-2.18286342670248e+01dB,1.12187503413612e+00°)
1.12460497396692e+01	(-2.18286265815741e+01dB,1.12446055981334e+00°)
1.12719745617551e+01	(-2.18286188606626e+01dB,1.12705204114597e+00°)
1.12979591467279e+01	(-2.18286111041255e+01dB,1.12964949183118e+00°)
1.13240036323555e+01	(-2.18286033118003e+01dB,1.13225292559794e+00°)
1.13501081567231e+01	(-2.18285954835238e+01dB,1.13486235620659e+00°)
1.13762728582343e+01	(-2.18285876191276e+01dB,1.13747779744846e+00°)
1.14024978756117e+01	(-2.18285797184420e+01dB,1.14009926314636e+00°)
1.14287833478977e+01	(-2.18285717813081e+01dB,1.14272676715621e+00°)
1.14551294144553e+01	(-2.18285638075460e+01dB,1.14536032336300e+00°)
1.14815362149688e+01	(-2.18285557969985e+01dB,1.14799994568662e+00°)
1.15080038894443e+01	(-2.18285477494899e+01dB,1.15064564807648e+00°)
1.15345325782109e+01	(-2.18285396648502e+01dB,1.15329744451476e+00°)
1.15611224219209e+01	(-2.18285315429065e+01dB,1.15595534901533e+00°)
1.15877735615512e+01	(-2.18285233834936e+01dB,1.15861937562523e+00°)
1.16144861384034e+01	(-2.18285151864290e+01dB,1.16128953842161e+00°)
1.16412602941049e+01	(-2.18285069515463e+01dB,1.16396585151586e+00°)
1.16680961706096e+01	(-2.18284986786676e+01dB,1.16664832905040e+00°)
1.16949939101987e+01	(-2.18284903676218e+01dB,1.16933698520091e+00°)
1.17219536554813e+01	(-2.18284820182292e+01dB,1.17203183417459e+00°)
1.17489755493953e+01	(-2.18284736303116e+01dB,1.17473289021132e+00°)
1.17760597352080e+01	(-2.18284652036955e+01dB,1.17744016758436e+00°)
1.18032063565173e+01	(-2.18284567381998e+01dB,1.18015368059875e+00°)
1.18304155572516e+01	(-2.18284482336435e+01dB,1.18287344359231e+00°)
1.18576874816716e+01	(-2.18284396898520e+01dB,1.18559947093666e+00°)
1.18850222743701e+01	(-2.18284311066413e+01dB,1.18833177703514e+00°)
1.19124200802737e+01	(-2.18284224838271e+01dB,1.19107037632412e+00°)
1.19398810446427e+01	(-2.18284138212311e+01dB,1.19381528327390e+00°)
1.19674053130724e+01	(-2.18284051186651e+01dB,1.19656651238664e+00°)
1.19949930314937e+01	(-2.18283963759507e+01dB,1.19932407819915e+00°)
1.20226443461741e+01	(-2.18283875928969e+01dB,1.20208799527984e+00°)
1.20503594037179e+01	(-2.18283787693202e+01dB,1.20485827823167e+00°)
1.20781383510677e+01	(-2.18283699050345e+01dB,1.20763494169060e+00°)
1.21059813355048e+01	(-2.18283609998509e+01dB,1.21041800032595e+00°)
1.21338885046497e+01	(-2.18283520535825e+01dB,1.21320746884087e+00°)
1.21618600064636e+01	(-2.18283430660365e+01dB,1.21600336197153e+00°)
1.21898959892486e+01	(-2.18283340370282e+01dB,1.21880569448894e+00°)
1.22179966016487e+01	(-2.18283249663585e+01dB,1.22161448119610e+00°)
1.22461619926504e+01	(-2.18283158538432e+01dB,1.22442973693198e+00°)
1.22743923115840e+01	(-2.18283066992839e+01dB,1.22725147656766e+00°)
1.23026877081238e+01	(-2.18282975024858e+01dB,1.23007971500880e+00°)
1.23310483322890e+01	(-2.18282882632611e+01dB,1.23291446719632e+00°)
1.23594743344450e+01	(-2.18282789814102e+01dB,1.23575574810369e+00°)
1.23879658653036e+01	(-2.18282696567352e+01dB,1.23860357273903e+00°)
1.24165230759240e+01	(-2.18282602890371e+01dB,1.24145795614469e+00°)
1.24451461177138e+01	(-2.18282508781223e+01dB,1.24431891339832e+00°)
1.24738351424294e+01	(-2.18282414237888e+01dB,1.24718645961094e+00°)
1.25025903021771e+01	(-2.18282319258376e+01dB,1.25006060992880e+00°)
1.25314117494141e+01	(-2.18282223840648e+01dB,1.25294137953199e+00°)
1.25602996369487e+01	(-2.18282127982692e+01dB,1.25582878363596e+00°)
1.25892541179416e+01	(-2.18282031682525e+01dB,1.25872283749147e+00°)
1.26182753459066e+01	(-2.18281934938072e+01dB,1.26162355638285e+00°)
1.26473634747114e+01	(-2.18281837747274e+01dB,1.26453095562984e+00°)
1.26765186585784e+01	(-2.18281740108049e+01dB,1.26744505058688e+00°)
1.27057410520853e+01	(-2.18281642018381e+01dB,1.27036585664467e+00°)
1.27350308101665e+01	(-2.18281543476211e+01dB,1.27329338922859e+00°)
1.27643880881134e+01	(-2.18281444479385e+01dB,1.27622766379794e+00°)
1.27938130415752e+01	(-2.18281345025856e+01dB,1.27916869584917e+00°)
1.28233058265601e+01	(-2.18281245113477e+01dB,1.28211650091266e+00°)
1.28528665994361e+01	(-2.18281144740156e+01dB,1.28507109455531e+00°)
1.28824955169313e+01	(-2.18281043903795e+01dB,1.28803249237966e+00°)
1.29121927361353e+01	(-2.18280942602210e+01dB,1.29100071002268e+00°)
1.29419584144998e+01	(-2.18280840833286e+01dB,1.29397576315829e+00°)
1.29717927098395e+01	(-2.18280738594822e+01dB,1.29695766749505e+00°)
1.30016957803328e+01	(-2.18280635884722e+01dB,1.29994643877917e+00°)
1.30316677845229e+01	(-2.18280532700772e+01dB,1.30294209279107e+00°)
1.30617088813183e+01	(-2.18280429040794e+01dB,1.30594464534807e+00°)
1.30918192299940e+01	(-2.18280324902603e+01dB,1.30895411230355e+00°)
1.31219989901919e+01	(-2.18280220283968e+01dB,1.31197050954654e+00°)
1.31522483219223e+01	(-2.18280115182683e+01dB,1.31499385300298e+00°)
1.31825673855640e+01	(-2.18280009596556e+01dB,1.31802415863546e+00°)
1.32129563418657e+01	(-2.18279903523282e+01dB,1.32106144244147e+00°)
1.32434153519466e+01	(-2.18279796960691e+01dB,1.32410572045730e+00°)
1.32739445772973e+01	(-2.18279689906501e+01dB,1.32715700875420e+00°)
1.33045441797808e+01	(-2.18279582358407e+01dB,1.33021532343996e+00°)
1.33352143216332e+01	(-2.18279474314177e+01dB,1.33328068066048e+00°)
1.33659551654643e+01	(-2.18279365771497e+01dB,1.33635309659734e+00°)
1.33967668742593e+01	(-2.18279256728104e+01dB,1.33943258747000e+00°)
1.34276496113785e+01	(-2.18279147181643e+01dB,1.34251916953380e+00°)
1.34586035405594e+01	(-2.18279037129828e+01dB,1.34561285908232e+00°)
1.34896288259164e+01	(-2.18278926570281e+01dB,1.34871367244500e+00°)
1.35207256319427e+01	(-2.18278815500744e+01dB,1.35182162599072e+00°)
1.35518941235103e+01	(-2.18278703918818e+01dB,1.35493673612365e+00°)
1.35831344658714e+01	(-2.18278591822128e+01dB,1.35805901928587e+00°)
1.36144468246594e+01	(-2.18278479208300e+01dB,1.36118849195726e+00°)
1.36458313658891e+01	(-2.18278366074996e+01dB,1.36432517065594e+00°)
1.36772882559584e+01	(-2.18278252419779e+01dB,1.36746907193644e+00°)
1.37088176616484e+01	(-2.18278138240238e+01dB,1.37062021239161e+00°)
1.37404197501250e+01	(-2.18278023533972e+01dB,1.37377860865243e+00°)
1.37720946889394e+01	(-2.18277908298569e+01dB,1.37694427738785e+00°)
1.38038426460287e+01	(-2.18277792531568e+01dB,1.38011723530434e+00°)
1.38356637897177e+01	(-2.18277676230507e+01dB,1.38329749914651e+00°)
1.38675582887188e+01	(-2.18277559392942e+01dB,1.38648508569772e+00°)
1.38995263121334e+01	(-2.18277442016395e+01dB,1.38968001177923e+00°)
1.39315680294529e+01	(-2.18277324098379e+01dB,1.39288229425069e+00°)
1.39636836105593e+01	(-2.18277205636414e+01dB,1.39609195001047e+00°)
1.39958732257261e+01	(-2.18277086627968e+01dB,1.39930899599489e+00°)
1.40281370456195e+01	(-2.18276967070519e+01dB,1.40253344917923e+00°)
1.40604752412990e+01	(-2.18276846961597e+01dB,1.40576532657849e+00°)
1.40928879842186e+01	(-2.18276726298573e+01dB,1.40900464524408e+00°)
1.41253754462274e+01	(-2.18276605078953e+01dB,1.41225142226862e+00°)
1.41579377995707e+01	(-2.18276483300143e+01dB,1.41550567478243e+00°)
1.41905752168908e+01	(-2.18276360959560e+01dB,1.41876741995507e+00°)
1.42232878712281e+01	(-2.18276238054623e+01dB,1.42203667499557e+00°)
1.42560759360218e+01	(-2.18276114582737e+01dB,1.42531345715215e+00°)
1.42889395851109e+01	(-2.18275990541281e+01dB,1.42859778371209e+00°)
1.43218789927353e+01	(-2.18275865927632e+01dB,1.43188967200226e+00°)
1.43548943335364e+01	(-2.18275740739177e+01dB,1.43518913938941e+00°)
1.43879857825583e+01	(-2.18275614973218e+01dB,1.43849620327861e+00°)
1.44211535152486e+01	(-2.18275488627118e+01dB,1.44181088111587e+00°)
1.44543977074592e+01	(-2.18275361698194e+01dB,1.44513319038636e+00°)
1.44877185354475e+01	(-2.18275234183798e+01dB,1.44846314861590e+00°)
1.45211161758773e+01	(-2.18275106081180e+01dB,1.45180077336877e+00°)
1.45545908058195e+01	(-2.18274977387671e+01dB,1.45514608225074e+00°)
1.45881426027534e+01	(-2.18274848100486e+01dB,1.45849909290611e+00°)
1.46217717445671e+01	(-2.18274718216935e+01dB,1.46185982302108e+00°)
1.46554784095590e+01	(-2.18274587734259e+01dB,1.46522829032126e+00°)
1.46892627764385e+01	(-2.18274456649708e+01dB,1.46860451257290e+00°)
1.47231250243271e+01	(-2.18274324960479e+01dB,1.47198850758217e+00°)
1.47570653327588e+01	(-2.18274192663815e+01dB,1.47538029319667e+00°)
1.47910838816819e+01	(-2.18274059756916e+01dB,1.47877988730426e+00°)
1.48251808514594e+01	(-2.18273926236919e+01dB,1.48218730783265e+00°)
1.48593564228699e+01	(-2.18273792101068e+01dB,1.48560257275237e+00°)
1.48936107771090e+01	(-2.18273657346489e+01dB,1.48902570007309e+00°)
1.49279440957898e+01	(-2.18273521970339e+01dB,1.49245670784637e+00°)
1.49623565609442e+01	(-2.18273385969719e+01dB,1.49589561416400e+00°)
1.49968483550236e+01	(-2.18273249341767e+01dB,1.49934243715985e+00°)
1.50314196609001e+01	(-2.18273112083665e+01dB,1.50279719501011e+00°)
1.50660706618673e+01	(-2.18272974192386e+01dB,1.50625990592897e+00°)
1.51008015416413e+01	(-2.18272835665106e+01dB,1.50973058817580e+00°)
1.51356124843619e+01	(-2.18272696498827e+01dB,1.51320926004874e+00°)
1.51705036745932e+01	(-2.18272556690667e+01dB,1.51669593988986e+00°)
1.52054752973248e+01	(-2.18272416237613e+01dB,1.52019064608101e+00°)
1.52405275379728e+01	(-2.18272275136726e+01dB,1.52369339704723e+00°)
1.52756605823806e+01	(-2.18272133384980e+01dB,1.52720421125435e+00°)
1.53108746168201e+01	(-2.18271990979433e+01dB,1.53072310721190e+00°)
1.53461698279928e+01	(-2.18271847917041e+01dB,1.53425010346995e+00°)
1.53815464030302e+01	(-2.18271704194755e+01dB,1.53778521862101e+00°)
1.54170045294954e+01	(-2.18271559809570e+01dB,1.54132847130081e+00°)
1.54525443953840e+01	(-2.18271414758440e+01dB,1.54487988018710e+00°)
1.54881661891247e+01	(-2.18271269038243e+01dB,1.54843946399904e+00°)
1.55238700995807e+01	(-2.18271122645934e+01dB,1.55200724149987e+00°)
1.55596563160506e+01	(-2.18270975578405e+01dB,1.55558323149476e+00°)
1.55955250282694e+01	(-2.18270827832540e+01dB,1.55916745283166e+00°)
1.56314764264094e+01	(-2.18270679405229e+01dB,1.56275992440194e+00°)
1.56675107010813e+01	(-2.18270530293318e+01dB,1.56636066513916e+00°)
1.57036280433354e+01	(-2.18270380493623e+01dB,1.56996969401985e+00°)
1.57398286446620e+01	(-2.18270230003046e+01dB,1.57358703006542e+00°)
1.57761126969933e+01	(-2.18270078818318e+01dB,1.57721269233773e+00°)
1.58124803927037e+01	(-2.18269926936319e+01dB,1.58084669994489e+00°)
1.58489319246110e+01	(-2.18269774353785e+01dB,1.58448907203629e+00°)
1.58854674859776e+01	(-2.18269621067519e+01dB,1.58813982780606e+00°)
1.59220872705115e+01	(-2.18269467074256e+01dB,1.59179898649133e+00°)
1.59587914723672e+01	(-2.18269312370733e+01dB,1.59546656737292e+00°)
1.59955802861465e+01	(-2.18269156953672e+01dB,1.59914258977573e+00°)
1.60324539069002e+01	(-2.18269000819824e+01dB,1.60282707306933e+00°)
1.60694125301286e+01	(-2.18268843965834e+01dB,1.60652003666558e+00°)
1.61064563517825e+01	(-2.18268686388441e+01dB,1.61022150002253e+00°)
1.61435855682647e+01	(-2.18268528084243e+01dB,1.61393148264013e+00°)
1.61808003764305e+01	(-2.18268369049932e+01dB,1.61765000406453e+00°)
1.62181009735891e+01	(-2.18268209282170e+01dB,1.62137708388630e+00°)
1.62554875575047e+01	(-2.18268048777552e+01dB,1.62511274173928e+00°)
1.62929603263970e+01	(-2.18267887532635e+01dB,1.62885699730159e+00°)
1.63305194789432e+01	(-2.18267725544062e+01dB,1.63260987029807e+00°)
1.63681652142779e+01	(-2.18267562808402e+01dB,1.63637138049713e+00°)
1.64058977319952e+01	(-2.18267399322189e+01dB,1.64014154771174e+00°)
1.64437172321491e+01	(-2.18267235081982e+01dB,1.64392039180068e+00°)
1.64816239152549e+01	(-2.18267070084299e+01dB,1.64770793266734e+00°)
1.65196179822900e+01	(-2.18266904325649e+01dB,1.65150419026048e+00°)
1.65576996346951e+01	(-2.18266737802562e+01dB,1.65530918457478e+00°)
1.65958690743754e+01	(-2.18266570511454e+01dB,1.65912293564855e+00°)
1.66341265037015e+01	(-2.18266402448808e+01dB,1.66294546356706e+00°)
1.66724721255104e+01	(-2.18266233611078e+01dB,1.66677678846106e+00°)
1.67109061431069e+01	(-2.18266063994715e+01dB,1.67061693050722e+00°)
1.67494287602642e+01	(-2.18265893596103e+01dB,1.67446590992702e+00°)
1.67880401812254e+01	(-2.18265722411597e+01dB,1.67832374698756e+00°)
1.68267406107045e+01	(-2.18265550437633e+01dB,1.68219046200394e+00°)
1.68655302538872e+01	(-2.18265377670576e+01dB,1.68606607533617e+00°)
1.69044093164324e+01	(-2.18265204106759e+01dB,1.68995060739027e+00°)
1.69433780044731e+01	(-2.18265029742494e+01dB,1.69384407861843e+00°)
1.69824365246172e+01	(-2.18264854574103e+01dB,1.69774650951983e+00°)
1.70215850839493e+01	(-2.18264678597909e+01dB,1.70165792064040e+00°)
1.70608238900310e+01	(-2.18264501810132e+01dB,1.70557833257115e+00°)
1.71001531509027e+01	(-2.18264324207080e+01dB,1.70950776595169e+00°)
1.71395730750840e+01	(-2.18264145784994e+01dB,1.71344624146760e+00°)
1.71790838715757e+01	(-2.18263966540037e+01dB,1.71739377985013e+00°)
1.72186857498599e+01	(-2.18263786468514e+01dB,1.72135040188067e+00°)
