Freq.	V(4)/I(RDC_43)
1.00000000000000e+01	(-2.29728660458564e+01dB,1.21925251953185e+00°)
1.00230523807790e+01	(-2.29728569687579e+01dB,1.22206233537251e+00°)
1.00461579027839e+01	(-2.29728478497762e+01dB,1.22487862260689e+00°)
1.00693166885180e+01	(-2.29728386887253e+01dB,1.22770139611326e+00°)
1.00925288607668e+01	(-2.29728294854071e+01dB,1.23053067080226e+00°)
1.01157945425990e+01	(-2.29728202396271e+01dB,1.23336646161931e+00°)
1.01391138573668e+01	(-2.29728109511929e+01dB,1.23620878354437e+00°)
1.01624869287070e+01	(-2.29728016199048e+01dB,1.23905765159077e+00°)
1.01859138805412e+01	(-2.29727922455658e+01dB,1.24191308080665e+00°)
1.02093948370768e+01	(-2.29727828279738e+01dB,1.24477508627396e+00°)
1.02329299228075e+01	(-2.29727733669346e+01dB,1.24764368311039e+00°)
1.02565192625141e+01	(-2.29727638622479e+01dB,1.25051888646740e+00°)
1.02801629812647e+01	(-2.29727543137087e+01dB,1.25340071153060e+00°)
1.03038612044162e+01	(-2.29727447211167e+01dB,1.25628917352108e+00°)
1.03276140576140e+01	(-2.29727350842688e+01dB,1.25918428769443e+00°)
1.03514216667934e+01	(-2.29727254029613e+01dB,1.26208606934118e+00°)
1.03752841581801e+01	(-2.29727156769878e+01dB,1.26499453378653e+00°)
1.03992016582906e+01	(-2.29727059061436e+01dB,1.26790969639109e+00°)
1.04231742939330e+01	(-2.29726960902203e+01dB,1.27083157255016e+00°)
1.04472021922080e+01	(-2.29726862290152e+01dB,1.27376017769521e+00°)
1.04712854805090e+01	(-2.29726763223115e+01dB,1.27669552729099e+00°)
1.04954242865232e+01	(-2.29726663699045e+01dB,1.27963763683957e+00°)
1.05196187382322e+01	(-2.29726563715794e+01dB,1.28258652187704e+00°)
1.05438689639126e+01	(-2.29726463271304e+01dB,1.28554219797648e+00°)
1.05681750921366e+01	(-2.29726362363414e+01dB,1.28850468074513e+00°)
1.05925372517729e+01	(-2.29726260989986e+01dB,1.29147398582641e+00°)
1.06169555719872e+01	(-2.29726159148899e+01dB,1.29445012889986e+00°)
1.06414301822431e+01	(-2.29726056837929e+01dB,1.29743312567941e+00°)
1.06659612123026e+01	(-2.29725954054989e+01dB,1.30042299191713e+00°)
1.06905487922266e+01	(-2.29725850797868e+01dB,1.30341974339933e+00°)
1.07151930523760e+01	(-2.29725747064372e+01dB,1.30642339594878e+00°)
1.07398941234124e+01	(-2.29725642852338e+01dB,1.30943396542500e+00°)
1.07646521362983e+01	(-2.29725538159505e+01dB,1.31245146772239e+00°)
1.07894672222983e+01	(-2.29725432983687e+01dB,1.31547591877298e+00°)
1.08143395129794e+01	(-2.29725327322658e+01dB,1.31850733454468e+00°)
1.08392691402120e+01	(-2.29725221174194e+01dB,1.32154573104205e+00°)
1.08642562361706e+01	(-2.29725114536033e+01dB,1.32459112430577e+00°)
1.08893009333343e+01	(-2.29725007405895e+01dB,1.32764353041307e+00°)
1.09144033644875e+01	(-2.29724899781552e+01dB,1.33070296547880e+00°)
1.09395636627209e+01	(-2.29724791660699e+01dB,1.33376944565354e+00°)
1.09647819614318e+01	(-2.29724683041045e+01dB,1.33684298712520e+00°)
1.09900583943252e+01	(-2.29724573920303e+01dB,1.33992360611881e+00°)
1.10153930954141e+01	(-2.29724464296163e+01dB,1.34301131889625e+00°)
1.10407861990207e+01	(-2.29724354166303e+01dB,1.34610614175650e+00°)
1.10662378397766e+01	(-2.29724243528378e+01dB,1.34920809103555e+00°)
1.10917481526240e+01	(-2.29724132380078e+01dB,1.35231718310739e+00°)
1.11173172728159e+01	(-2.29724020719003e+01dB,1.35543343438214e+00°)
1.11429453359173e+01	(-2.29723908542808e+01dB,1.35855686130839e+00°)
1.11686324778056e+01	(-2.29723795849158e+01dB,1.36168748037260e+00°)
1.11943788346715e+01	(-2.29723682635594e+01dB,1.36482530809707e+00°)
1.12201845430196e+01	(-2.29723568899791e+01dB,1.36797036104409e+00°)
1.12460497396692e+01	(-2.29723454639269e+01dB,1.37112265581144e+00°)
1.12719745617551e+01	(-2.29723339851668e+01dB,1.37428220903688e+00°)
1.12979591467279e+01	(-2.29723224534531e+01dB,1.37744903739473e+00°)
1.13240036323555e+01	(-2.29723108685437e+01dB,1.38062315759813e+00°)
1.13501081567231e+01	(-2.29722992301912e+01dB,1.38380458639767e+00°)
1.13762728582343e+01	(-2.29722875381501e+01dB,1.38699334058259e+00°)
1.14024978756117e+01	(-2.29722757921713e+01dB,1.39018943698011e+00°)
1.14287833478977e+01	(-2.29722639920076e+01dB,1.39339289245626e+00°)
1.14551294144553e+01	(-2.29722521374132e+01dB,1.39660372391597e+00°)
1.14815362149688e+01	(-2.29722402281257e+01dB,1.39982194830022e+00°)
1.15080038894443e+01	(-2.29722282639071e+01dB,1.40304758259277e+00°)
1.15345325782109e+01	(-2.29722162444941e+01dB,1.40628064381217e+00°)
1.15611224219209e+01	(-2.29722041696350e+01dB,1.40952114901787e+00°)
1.15877735615512e+01	(-2.29721920390775e+01dB,1.41276911530832e+00°)
1.16144861384034e+01	(-2.29721798525614e+01dB,1.41602455981985e+00°)
1.16412602941049e+01	(-2.29721676098269e+01dB,1.41928749972810e+00°)
1.16680961706096e+01	(-2.29721553106195e+01dB,1.42255795224894e+00°)
1.16949939101987e+01	(-2.29721429546741e+01dB,1.42583593463598e+00°)
1.17219536554813e+01	(-2.29721305417339e+01dB,1.42912146418368e+00°)
1.17489755493953e+01	(-2.29721180715343e+01dB,1.43241455822482e+00°)
1.17760597352080e+01	(-2.29721055438106e+01dB,1.43571523413191e+00°)
1.18032063565173e+01	(-2.29720929582963e+01dB,1.43902350931696e+00°)
